E9WnmMQlo1Jw1yqwkp_GoA;76,2835ms;36,7055ms;39,578ms
5DQJldZiE79YW0BbHMMoYw;76,4927ms;33,9325ms;42,5602ms
BQOiJzWjsR5hfeqeoLbbiA;78,5119ms;40,1755ms;38,3364ms
Wl97MJrVsLXItT_uHf5peA;116,1525ms;23,2229ms;92,9296ms
E9WnmMQlo1Jw1yqwkp_GoA;29,4746ms;25,608ms;3,8666ms
BIZSX3aczb0WOx6Yok8Qqg;168,3859ms;31,3745ms;137,0114ms
7tNFXLJAqiMzsh3Bu2WxxQ;240,5983ms;31,4824ms;209,1159ms
5DQJldZiE79YW0BbHMMoYw;4,5009ms;3,0055ms;1,4954ms
BQOiJzWjsR5hfeqeoLbbiA;4,5179ms;2,1665ms;2,3514ms
E9WnmMQlo1Jw1yqwkp_GoA;4,0037ms;2,1718ms;1,8319ms
5DQJldZiE79YW0BbHMMoYw;2,805ms;1,2277ms;1,5773ms
E9WnmMQlo1Jw1yqwkp_GoA;1,9264ms;0,7837ms;1,1427ms
BQOiJzWjsR5hfeqeoLbbiA;3,0473ms;1,2997ms;1,7476ms
BQOiJzWjsR5hfeqeoLbbiA;2,6272ms;1,0132ms;1,614ms
5DQJldZiE79YW0BbHMMoYw;2,7303ms;1,2604ms;1,4699ms
E9WnmMQlo1Jw1yqwkp_GoA;3,3851ms;1,4954ms;1,8897ms
5DQJldZiE79YW0BbHMMoYw;2,8865ms;1,1674ms;1,7191ms
BQOiJzWjsR5hfeqeoLbbiA;3,1025ms;1,0939ms;2,0086ms
E9WnmMQlo1Jw1yqwkp_GoA;3,4984ms;1,8041ms;1,6943ms
7tNFXLJAqiMzsh3Bu2WxxQ;17,3761ms;1,147ms;16,2291ms
Wl97MJrVsLXItT_uHf5peA;17,8898ms;1,3137ms;16,5761ms
5DQJldZiE79YW0BbHMMoYw;4,6399ms;0,9763ms;3,6636ms
BQOiJzWjsR5hfeqeoLbbiA;5,8674ms;1,3035ms;4,5639ms
BIZSX3aczb0WOx6Yok8Qqg;22,645ms;1,1691ms;21,4759ms
E9WnmMQlo1Jw1yqwkp_GoA;6,2729ms;1,2411ms;5,0318ms
5DQJldZiE79YW0BbHMMoYw;1,3791ms;0,3601ms;1,019ms
BQOiJzWjsR5hfeqeoLbbiA;1,9065ms;1,1439ms;0,7626ms
E9WnmMQlo1Jw1yqwkp_GoA;2,4578ms;1,2751ms;1,1827ms
5DQJldZiE79YW0BbHMMoYw;2,595ms;1,8174ms;0,7776ms
BQOiJzWjsR5hfeqeoLbbiA;2,0104ms;1,1048ms;0,9056ms
E9WnmMQlo1Jw1yqwkp_GoA;2,1628ms;1,1983ms;0,9645ms
5DQJldZiE79YW0BbHMMoYw;2,5081ms;1,4682ms;1,0399ms
E9WnmMQlo1Jw1yqwkp_GoA;2,0399ms;1,0082ms;1,0317ms
BQOiJzWjsR5hfeqeoLbbiA;2,5645ms;1,2413ms;1,3232ms
5DQJldZiE79YW0BbHMMoYw;4,9784ms;1,81ms;3,1684ms
E9WnmMQlo1Jw1yqwkp_GoA;5,9347ms;3,6919ms;2,2428ms
BQOiJzWjsR5hfeqeoLbbiA;5,7839ms;3,9259ms;1,858ms
5DQJldZiE79YW0BbHMMoYw;3,7565ms;2,5241ms;1,2324ms
E9WnmMQlo1Jw1yqwkp_GoA;2,354ms;1,1948ms;1,1592ms
BQOiJzWjsR5hfeqeoLbbiA;2,6598ms;1,1728ms;1,487ms
BQOiJzWjsR5hfeqeoLbbiA;3,4376ms;2,0615ms;1,3761ms
E9WnmMQlo1Jw1yqwkp_GoA;3,4264ms;2,0765ms;1,3499ms
5DQJldZiE79YW0BbHMMoYw;3,0665ms;1,7767ms;1,2898ms
7tNFXLJAqiMzsh3Bu2WxxQ;30,5302ms;1,1193ms;29,4109ms
Wl97MJrVsLXItT_uHf5peA;25,444ms;1,2322ms;24,2118ms
BIZSX3aczb0WOx6Yok8Qqg;25,283ms;1,0972ms;24,1858ms
E9WnmMQlo1Jw1yqwkp_GoA;3,7971ms;1,5719ms;2,2252ms
5DQJldZiE79YW0BbHMMoYw;4,1868ms;2,6861ms;1,5007ms
BQOiJzWjsR5hfeqeoLbbiA;3,6806ms;1,4864ms;2,1942ms
5DQJldZiE79YW0BbHMMoYw;1,1886ms;0,3141ms;0,8745ms
BQOiJzWjsR5hfeqeoLbbiA;1,0115ms;0,3699ms;0,6416ms
E9WnmMQlo1Jw1yqwkp_GoA;2,3897ms;1,5782ms;0,8115ms
E9WnmMQlo1Jw1yqwkp_GoA;2,1343ms;1,2548ms;0,8795ms
5DQJldZiE79YW0BbHMMoYw;1,663ms;0,9856ms;0,6774ms
BQOiJzWjsR5hfeqeoLbbiA;2,1564ms;0,9186ms;1,2378ms
5DQJldZiE79YW0BbHMMoYw;2,8058ms;1,6481ms;1,1577ms
BQOiJzWjsR5hfeqeoLbbiA;1,7467ms;0,8167ms;0,93ms
E9WnmMQlo1Jw1yqwkp_GoA;1,9388ms;0,8699ms;1,0689ms
BQOiJzWjsR5hfeqeoLbbiA;1,5304ms;0,8093ms;0,7211ms
5DQJldZiE79YW0BbHMMoYw;2,132ms;0,8101ms;1,3219ms
E9WnmMQlo1Jw1yqwkp_GoA;1,5364ms;0,7221ms;0,8143ms
E9WnmMQlo1Jw1yqwkp_GoA;0,8572ms;0,2134ms;0,6438ms
E9WnmMQlo1Jw1yqwkp_GoA;0,8638ms;0,2208ms;0,643ms
5DQJldZiE79YW0BbHMMoYw;1,6459ms;1,0318ms;0,6141ms
Wl97MJrVsLXItT_uHf5peA;17,3194ms;1,0572ms;16,2622ms
BQOiJzWjsR5hfeqeoLbbiA;2,0225ms;1,2428ms;0,7797ms
BIZSX3aczb0WOx6Yok8Qqg;16,7016ms;1,1056ms;15,596ms
7tNFXLJAqiMzsh3Bu2WxxQ;19,5147ms;1,674ms;17,8407ms
E9WnmMQlo1Jw1yqwkp_GoA;2,4481ms;1,475ms;0,9731ms
5DQJldZiE79YW0BbHMMoYw;1,9465ms;1,1592ms;0,7873ms
BQOiJzWjsR5hfeqeoLbbiA;1,8327ms;1,1611ms;0,6716ms
5DQJldZiE79YW0BbHMMoYw;0,7155ms;0,2599ms;0,4556ms
BQOiJzWjsR5hfeqeoLbbiA;1,8565ms;1,2286ms;0,6279ms
5DQJldZiE79YW0BbHMMoYw;1,597ms;0,8735ms;0,7235ms
E9WnmMQlo1Jw1yqwkp_GoA;3,9285ms;1,7552ms;2,1733ms
5DQJldZiE79YW0BbHMMoYw;2,0388ms;1,0473ms;0,9915ms
E9WnmMQlo1Jw1yqwkp_GoA;2,0302ms;1,0254ms;1,0048ms
BQOiJzWjsR5hfeqeoLbbiA;2,0291ms;1,0358ms;0,9933ms
5DQJldZiE79YW0BbHMMoYw;4,3573ms;1,7239ms;2,6334ms
BQOiJzWjsR5hfeqeoLbbiA;3,1394ms;0,9945ms;2,1449ms
E9WnmMQlo1Jw1yqwkp_GoA;4,319ms;0,8709ms;3,4481ms
Wl97MJrVsLXItT_uHf5peA;15,4423ms;1,0722ms;14,3701ms
5DQJldZiE79YW0BbHMMoYw;2,6029ms;0,8177ms;1,7852ms
BQOiJzWjsR5hfeqeoLbbiA;2,6218ms;1,1188ms;1,503ms
BIZSX3aczb0WOx6Yok8Qqg;19,5319ms;1,2526ms;18,2793ms
7tNFXLJAqiMzsh3Bu2WxxQ;18,2676ms;1,6313ms;16,6363ms
E9WnmMQlo1Jw1yqwkp_GoA;4,3436ms;1,0588ms;3,2848ms
E9WnmMQlo1Jw1yqwkp_GoA;1,269ms;0,3181ms;0,9509ms
BQOiJzWjsR5hfeqeoLbbiA;3,0412ms;1,9557ms;1,0855ms
